n_characters,length,accuracy,ci_low,ci_high,count
2,long,1.0,1.0,1.0,5
2,short,1.0,1.0,1.0,5
4,long,1.0,1.0,1.0,5
4,short,1.0,1.0,1.0,5
6,long,1.0,1.0,1.0,5
6,short,1.0,1.0,1.0,5
8,long,0.8,0.4,1.0,5
8,short,0.8,0.4,1.0,5
10,long,1.0,1.0,1.0,5
10,short,1.0,1.0,1.0,5
12,long,1.0,1.0,1.0,5
12,short,1.0,1.0,1.0,5
16,long,1.0,1.0,1.0,5
16,short,1.0,1.0,1.0,5
20,long,1.0,1.0,1.0,5
20,short,1.0,1.0,1.0,5
24,long,1.0,1.0,1.0,5
24,short,1.0,1.0,1.0,5
28,long,1.0,1.0,1.0,5
28,short,1.0,1.0,1.0,5
32,long,1.0,1.0,1.0,5
32,short,1.0,1.0,1.0,5
